ClassifierID,phenotype,PVE,PVESE,Vg,Ve
JABS005,duration_T5,0.605919,0.0617048,1.00544,0.434856
JABS005,duration_T20,0.696928,0.0572217,1.15107,0.332872
JABS005,duration_T55,0.747944,0.0547525,1.31276,0.294193
JABS005,numBouts_T5,0.608009,0.0611925,1.06647,0.457228
JABS005,numBouts_T20,0.661941,0.0570601,1.07737,0.365895
JABS005,numBouts_T55,0.713419,0.0538472,1.2099,0.323198
JABS005,avgBoutLen_T5,0.463726,0.0651407,0.799917,0.61516
JABS005,avgBoutLen_T20,0.497709,0.0652921,0.86886,0.583106
JABS005,avgBoutLen_T55,0.487702,0.0650573,0.818531,0.57177
JABS006,duration_T5,0.340405,0.0647871,0.520048,0.670103
JABS006,duration_T20,0.469672,0.0713493,0.608813,0.457143
JABS006,duration_T55,0.432283,0.0725086,0.506737,0.442551
JABS006,numBouts_T5,0.451542,0.0679167,0.724608,0.585282
JABS006,numBouts_T20,0.538618,0.0681619,0.725643,0.413352
JABS006,numBouts_T55,0.521528,0.0726351,0.634532,0.387124
JABS006,avgBoutLen_T5,0.316338,0.0623172,0.454621,0.653366
JABS006,avgBoutLen_T20,0.470052,0.0681103,0.715389,0.536348
JABS006,avgBoutLen_T55,0.49648,0.0697056,0.729973,0.49231
JABS007,duration_T5,0.343075,0.062466,0.622683,0.792886
JABS007,duration_T20,0.420376,0.0662438,0.777014,0.712449
JABS007,duration_T55,0.51457,0.0678106,1.07732,0.675837
JABS007,numBouts_T5,0.375748,0.0642011,0.655419,0.724103
JABS007,numBouts_T20,0.485091,0.0679754,0.917287,0.647486
JABS007,numBouts_T55,0.538723,0.0679301,1.1016,0.627246
JABS007,avgBoutLen_T5,0.112685,0.0358789,0.174564,0.914081
JABS007,avgBoutLen_T20,0.077523,0.0269721,0.118572,0.938265
JABS007,avgBoutLen_T55,0.215533,0.0532521,0.354335,0.857614
JABS008,duration_T5,0.616246,0.0630887,1.04405,0.432354
JABS008,duration_T20,0.605106,0.0623093,0.936591,0.406459
JABS008,duration_T55,0.615371,0.0605144,0.93162,0.387223
JABS008,numBouts_T5,0.61112,0.0627908,1.02091,0.432012
JABS008,numBouts_T20,0.594189,0.0628325,0.915688,0.415876
JABS008,numBouts_T55,0.608758,0.0610442,0.918322,0.392476
JABS008,avgBoutLen_T5,0.200875,0.050613,0.325074,0.859977
JABS008,avgBoutLen_T20,0.325335,0.0621941,0.519927,0.716996
JABS008,avgBoutLen_T55,0.379887,0.0653663,0.619815,0.672816
JABS009,duration_T5,0.403478,0.0635602,0.617358,0.606961
JABS009,duration_T20,0.35664,0.0614525,0.557994,0.669377
JABS009,duration_T55,0.409474,0.0638495,0.644633,0.61822
JABS009,numBouts_T5,0.537608,0.0661038,0.835868,0.478078
JABS009,numBouts_T20,0.590516,0.064119,0.951201,0.438627
JABS009,numBouts_T55,0.593957,0.0631872,0.949978,0.431864
JABS009,avgBoutLen_T5,0.197302,0.0520678,0.334892,0.906031
JABS009,avgBoutLen_T20,0.166724,0.047553,0.281782,0.936529
JABS009,avgBoutLen_T55,0.198049,0.0522519,0.342552,0.922402
JABS001,duration_T5,0.628509,0.0627525,1.06073,0.416927
JABS001,duration_T20,0.610883,0.0624224,0.938295,0.397447
JABS001,duration_T55,0.616197,0.0610949,0.925672,0.38341
JABS001,numBouts_T5,0.631815,0.0618487,1.03989,0.402977
JABS001,numBouts_T20,0.63218,0.0615766,0.96175,0.372113
JABS001,numBouts_T55,0.636574,0.0604403,0.946909,0.359495
JABS001,avgBoutLen_T5,0.178468,0.0481836,0.261846,0.801543
JABS001,avgBoutLen_T20,0.337908,0.0634968,0.499351,0.650644
JABS001,avgBoutLen_T55,0.389178,0.0669634,0.62818,0.655644
JABS002,duration_T5,0.488167,0.0661595,0.754225,0.52587
JABS002,duration_T20,0.457454,0.0649453,0.711257,0.560962
JABS002,duration_T55,0.480603,0.065055,0.750002,0.539005
JABS002,numBouts_T5,0.60787,0.0655286,0.994493,0.426618
JABS002,numBouts_T20,0.655133,0.0615878,1.06093,0.371385
JABS002,numBouts_T55,0.662427,0.0600518,1.05615,0.357911
JABS002,avgBoutLen_T5,0.172027,0.0476157,0.281415,0.900707
JABS002,avgBoutLen_T20,0.183073,0.0480798,0.303553,0.900762
JABS002,avgBoutLen_T55,0.226443,0.0540105,0.386516,0.878049
JABS004,duration_T5,0.352278,0.0608379,0.56955,0.696391
JABS004,duration_T20,0.556206,0.0627315,0.929425,0.493149
JABS004,duration_T55,0.641564,0.0595986,1.21,0.449546
JABS004,numBouts_T5,0.338532,0.0612547,0.548119,0.712201
JABS004,numBouts_T20,0.604151,0.0626945,1.18606,0.516785
JABS004,numBouts_T55,0.640898,0.0607762,1.39651,0.520346
JABS004,avgBoutLen_T5,0.184516,0.0467463,0.290344,0.853319
JABS004,avgBoutLen_T20,0.388842,0.0617666,0.605351,0.632711
JABS004,avgBoutLen_T55,0.494018,0.0629211,0.806465,0.549282
